"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2833","verify Invalid login @wip","Google Chrome","Mon Jan 05 18:23:37 UTC 2026","failed","Mon Jan 05 18:23:40 UTC 2026","","loginpage.spec.ts","",""
"","1498","verify invalid login","Google Chrome","Mon Dec 29 19:49:49 UTC 2025","passed","Mon Dec 29 19:49:51 UTC 2025","","loginpage.spec.ts","",""
"","5758","verify valid login @login","Google Chrome","Mon Jan 05 18:23:30 UTC 2026","passed","Mon Jan 05 18:23:36 UTC 2026","","loginpage.spec.ts","",""
"","1639","verify valid login","Google Chrome","Mon Dec 29 19:45:17 UTC 2025","passed","Mon Dec 29 19:45:19 UTC 2025","","loginpage.spec.ts","",""
